Station,Parameter,TsID
05BL809,PC,160840042
05BL809,TA,160812042
05BL813,PC,161262042
05BL813,TA,161234042
FIRES-XAA,PR,437687042
FIRES-XAA,TA,437695042
05BJ804,PC,160327042
05BJ804,TA,160260042
FIRES-B4,PR,188530042
FIRES-B4,TA,188509042
05BJ805,PC,160535042
05BJ805,TA,160424042
05BH803,PC,159882042
05BH803,TA,159854042
05BL812,PC,161192042
05BL812,TA,161120042
FIRES-B5,PR,188573042
FIRES-B5,TA,188552042
05BH803,PC,160605042
05BH803,TA,160577042
05BF825,PC,159327042
05BF825,TA,159299042
05BH802,PC,159789042
05BH802,TA,159761042
05BL810,PC,160910042
05BL810,TA,160882042
05BF827,PC,159509042
05BF827,TA,159442042
05BJ806,PC,160605042
05BJ806,TA,160577042

